name,x,y
n292669,11738958.07,3716796.923
n284041,11738625.41,3716444.331
n283999,11738400.31,3715989.082
n284185,11736977.26,3718562.579
n284183,11737489.02,3718526.203
n284174,11737801.35,3718447.53
n284177,11738081.14,3718468.135
n284130,11738211.2,3717971.693
n284147,11737687.48,3718075.678
n284155,11737022.81,3718111.137
n284164,11737247.6,3718193.255
n292554,11740046.7,3714924.62
n292545,11739514.28,3714681.731
n292635,11739759.73,3716062.134
n292643,11739822.88,3716157.939
n292637,11740013.99,3716069.272
n292642,11740101.89,3716149.111
n292651,11740198.86,3716284.078
n292658,11740395.51,3716492.092
n292652,11740465.96,3716321.745
n292645,11740391.53,3716171.504
n292647,11739270.4,3716180.523
n292665,11739434.91,3716664.288
n292661,11739405.97,3716597.385
n292560,11739965.92,3715043.922
n292674,11739630.94,3716938.868
n292666,11739793.53,3716781.722
n292676,11739885.39,3716952.903
n292678,11740250.58,3716976.06
n292679,11740643.32,3716976.307
n292683,11740683.33,3716976.507
n292684,11740778.59,3716979.355
n292670,11739690.04,3716819.699
n292747,11739959.07,3718222.654
n292744,11739993.11,3718209.471
n292743,11740046.88,3718189.253
n292740,11740457.94,3718145.232
n292777,11740602.67,3718921.376
n292774,11740973.59,3718838.806
n292779,11741181.17,3718972.255
n292790,11740916.35,3719328.962
n292802,11741162.72,3719480.967
n292805,11740577.96,3719567.118
n292815,11740876.12,3720017.105
n292819,11740790.53,3720268.918
n292825,11740387.64,3720544.347
n292837,11740704.51,3720737.72
n292855,11740754.42,3721246.875
n292867,11740779.55,3721551.896
n292877,11740848.97,3721778.167
n292882,11741051.79,3722050.803
n292872,11741098.83,3721709.236
n292866,11740982.52,3721513.331
n292852,11740985.34,3721203.38
n292841,11740983.75,3720898.201
n292832,11741005.39,3720584.873
n300997,11741340.85,3720033.441
n292778,11739711.98,3718960.366
n292772,11740176.41,3718586.625
n292786,11740079.2,3719159.562
n292788,11740303.06,3719162.93
n292801,11740179.1,3719479.232
n292798,11739903,3719405.955
n292811,11739844.57,3719901.839
n292809,11739358.05,3719848.462
n292813,11739363.58,3719935.301
