name,enabled,n_phases,n_conds,base_freq,x_hl,x_ht,x_lt,pct_load_loss,ppm_anti_float
05410_g2000wm6400,true,1,2,60,0.019025,0.35,0.3,1.212,1E-6
05410_g2000wn0100,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000wn3300,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000wo2300,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000wo8800,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000xe9500,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000xf7700,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000xg5800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000xh0500,true,1,2,60,0.0218,0.35,0.3,1.49333333333333,1E-6
05410_g2000xh4000,true,1,2,60,0.0218,0.35,0.3,1.49333333333333,1E-6
05410_g2000xh4800,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000xh7500,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2000xj7800,true,1,2,60,0.01965,0.35,0.3,1.134,1E-6
05410_g2000xj9800,true,1,2,60,0.01965,0.35,0.3,1.134,1E-6
05410_g2000xk5800,true,1,2,60,0.0218,0.35,0.3,1.49333333333333,1E-6
05410_g2000xl0100,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xl0800,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xl1500,true,1,2,60,0.01965,0.35,0.3,1.134,1E-6
05410_g2000xl6500,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xl8000,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xl9500,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xm1800,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xn2900,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xn3600,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000xn7400,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000xn9200,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xn9500,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000xo7000,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2000xp1100,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000ye2100,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2000yi1900,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000yi2500,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000ym2700,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2000ym7400,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2001qi3100,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001qj8800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001qn1400,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001qn1600,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001qn7500,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001qo2100,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001rb7800,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001rg8800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001rh0400,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001rh4100,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001ri6300,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001rj3400,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001rj9700,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001rl0800,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001rm3600,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001rm4100,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2001sa1700,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sa7400,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2001sb6900,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sb8200,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001se4900,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001sh1900,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sh3700,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001si2800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001si3300,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001si5500,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sj3800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001sj5400,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sl0100,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sl1400,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sl1900,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001sl6300,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001sl9500,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001ta6400,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001tb6700,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001tc3700,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001tc6700,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001td3700,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001td6700,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001te3200,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001te3800,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001tf3200,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001tg2100,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001th0100,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2001ti4000,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001ti5600,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001ti6400,true,1,2,60,0.01835,0.35,0.3,1.266,1E-6
05410_g2001tj2100,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001tl8100,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2001tl8200,true,1,2,60,0.01745,0.35,0.3,1.316,1E-6
05410_g2001ub2100,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001ub4400,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001uc6800,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
05410_g2001ud4700,true,1,2,60,0.023495,0.35,0.3,0.856,1E-6
05410_g2001ud7700,true,1,2,60,0.02025,0.35,0.3,0.877,1E-6
05410_g2001ud9000,true,1,2,60,0.0329,0.35,0.3,1.3575,1E-6
